Station,Line,Location[a],Grade,Opened[8][9],Ridership (2023-2024[10] avg. weekday),Platforms,Terminal within fare-paid area,Transfers[11],Accessible[12],fullAddress,lat,long
Dundas West,,Old Toronto,Underground,1966,23861,Side,Yes,TTC streetcars  Kitchener  Union Pearson Express,Yes,"Dundas West Station, Toronto, Canada",43.65673098568642,-79.4538194909717
Lansdowne,,Old Toronto,Underground,1966,17406,Side,No,,Yes,"Lansdowne Station, Toronto, Canada",43.6593524,-79.44319175000001
Dufferin,,Old Toronto,Underground,1966,26800,Side,No,,Yes,"Dufferin Station, Toronto, Canada",43.6602635,-79.4353869
Ossington,,Old Toronto,Underground,1966,22109,Side,Yes,,Yes,"Ossington Station, Toronto, Canada",43.6623565,-79.4263675
Christie,,Old Toronto,Underground,1966,11407,Side,No,,No,"Christie Station, Toronto, Canada",43.6640809,-79.4185289
Bathurst,,Old Toronto,Underground,1966,30598,Side,Yes,TTC streetcars,Yes,"Bathurst Station, Toronto, Canada",43.66641590196867,-79.41130918066413
Bay,,Old Toronto,Underground,1966,20980,Centre,No,,Yes,"Bay Station, Toronto, Canada",43.6701851,-79.3902694
Sherbourne,,Old Toronto,Underground,1966,24689,Side,No,,Yes,"Sherbourne Station, Toronto, Canada",43.67218771983478,-79.37648191432166
Castle Frank,,Old Toronto,Underground,1966,8943,Side,Yes,,Yes,"Castle Frank Station, Toronto, Canada",43.6734986,-79.3690458
Broadview,,Old Toronto,Underground,1966,11720,Side,Yes,TTC streetcars,Yes,"Broadview Station, Toronto, Canada",43.6770471,-79.35839530606879
Chester,,Old Toronto,Underground,1966,6197,Side,No,,Yes,"Chester Station, Toronto, Canada",43.6782277,-79.3525143
Pape,,Old Toronto,Underground,1966,34506,Side,Yes,,Yes,"Pape Station, Toronto, Canada",43.6800489,-79.3445666
Donlands,,Old Toronto,Underground,1966,6317,Side,Yes,,Yes,"Donlands Station, Toronto, Canada",43.6808549,-79.3377699
Greenwood,,Old Toronto,Underground,1966,9567,Side,No[c],,No,"Greenwood Station, Toronto, Canada",43.6824765,-79.3302798
Coxwell,,Old Toronto,Underground,1966,13450,Side,Yes,,Yes,"Coxwell Station, Toronto, Canada",43.6839754,-79.3229654
Woodbine,,Old Toronto,Underground,1966,10803,Side,Yes,,Yes,"Woodbine Station, Toronto, Canada",43.6864139,-79.3126246
Main Street,,Old Toronto,Underground,1968,18682,Side,Yes,TTC streetcars  Lakeshore East  Stouffville,Yes,"Main Street Station, Toronto, Canada",43.689078,-79.3019411
Victoria Park,,Scarborough,Surface,1968,32276,Side,Yes,,Yes,"Victoria Park Station, Toronto, Canada",43.6948696,-79.288797
Warden,,Scarborough,Surface,1968,21843,Centre,Yes,,No,"Warden Station, Toronto, Canada",43.7109952,-79.2798858
Kennedy,,Scarborough,Underground,1980,42881,Centre,Yes,Stouffville,Yes,"Kennedy Station, Toronto, Canada",43.7325599,-79.2638992
Bayview,,North York,Underground,2002,6205,Centre,No,,Yes,"Bayview Station, Toronto, Canada",43.7667987,-79.3873787
Bessarion,,North York,Underground,2002,3180,Centre,No,,Yes,"Bessarion Station, Toronto, Canada",43.7690604,-79.37588370821047
Leslie,,North York,Underground,2002,3988,Centre,Yes,Richmond Hill,Yes,"Leslie Station, Toronto, Canada",43.7704145,-79.3676705
Don Mills,,North York,Underground,2002,28709,Centre,Yes,York Region Transit,Yes,"Don Mills Station, Toronto, Canada",43.775347,-79.3459439
